condition,metric_family,metric_name,roi_or_network,mean,median,std,n_epochs,percent_change_vs_pre
Pre,power,alpha_absolute,left_motor,1.7059228941850826e-11,1.8542428133225335e-11,1.130212959147658e-11,88,0.0
Pre,power,alpha_relative,left_motor,0.4200350956610652,0.49596077930744853,0.1972347271793759,88,0.0
Pre,power,beta_absolute,left_motor,2.988653135567888e-12,3.0290545456554823e-12,9.979690055354606e-13,88,0.0
Pre,power,beta_relative,left_motor,0.0860837660381289,0.08357247094450995,0.023680123704428294,88,0.0
Pre,power,low_gamma_absolute,left_motor,4.759748424634097e-13,4.203213738916982e-13,1.8780654618488212e-13,88,0.0
Pre,power,low_gamma_relative,left_motor,0.015495564009253872,0.011990424471782698,0.010171616478085415,88,0.0
Pre,power,alpha_absolute,right_motor,1.8599319421976506e-11,1.9967866815224427e-11,1.240328180595634e-11,88,0.0
Pre,power,alpha_relative,right_motor,0.43689271816859365,0.5090390081361431,0.20815150997784732,88,0.0
Pre,power,beta_absolute,right_motor,2.915298533694425e-12,2.8757246336512777e-12,1.157668428887311e-12,88,0.0
Pre,power,beta_relative,right_motor,0.08001097034815449,0.07375345524487273,0.023511602141540116,88,0.0
Pre,power,low_gamma_absolute,right_motor,3.8946095345212947e-13,3.164511477991208e-13,2.521377902874216e-13,88,0.0
Pre,power,low_gamma_relative,right_motor,0.012628937327109015,0.008319028285131518,0.011501724845091961,88,0.0
Post,power,alpha_absolute,left_motor,1.6811128435411993e-11,1.739801306458098e-11,8.089694784637766e-12,80,-1.4543477157409894
Post,power,alpha_relative,left_motor,0.4541339681293328,0.48367612919459935,0.15189358686911797,80,8.1181008016965
Post,power,beta_absolute,left_motor,2.98933204088116e-12,2.7117214173010262e-12,1.138552696463077e-12,80,0.02271609592937936
Post,power,beta_relative,left_motor,0.08480972764481401,0.08207480576267585,0.019535335344239974,80,-1.4799984386726048
Post,power,low_gamma_absolute,left_motor,5.432570704771551e-13,4.742638238184192e-13,3.1897916135782603e-13,80,14.135668949544884
Post,power,low_gamma_relative,left_motor,0.01622025427669393,0.014082367154047482,0.007866818996223357,80,4.676759535872837
Post,power,alpha_absolute,right_motor,1.7356698144439854e-11,1.730245194701045e-11,7.85490781296619e-12,80,-6.681004016030826
Post,power,alpha_relative,right_motor,0.46251170685000426,0.49464327999586066,0.15634295942586102,80,5.863908372930223
Post,power,beta_absolute,right_motor,3.0096606564522603e-12,2.7393231763314404e-12,1.100074290378091e-12,80,3.2367910753295814
Post,power,beta_relative,right_motor,0.08429984908240518,0.08038631526656928,0.023636382920288235,80,5.360363354660415
Post,power,low_gamma_absolute,right_motor,5.06352239301255e-13,3.87288695927065e-13,4.0871641920365626e-13,80,30.013608505041876
Post,power,low_gamma_relative,right_motor,0.015404067763866408,0.011555574739786741,0.014365314412264001,80,21.97437808801502
Pre,wpli,theta,within_left,0.27192220611918577,0.26985974862866496,0.087886206695397,88,0.0
Pre,wpli,theta,within_right,0.28333326764131256,0.2666291720687931,0.09376755895075514,88,0.0
Pre,wpli,theta,interhemispheric,0.2644181522793442,0.2624670434426398,0.09352173766194422,88,0.0
Pre,wpli,theta,anterior_posterior,0.2770903135760624,0.2693801505966211,0.07387856904310847,88,0.0
Pre,wpli,alpha,within_left,0.378521540080158,0.3638778297426042,0.12953104130751192,88,0.0
Pre,wpli,alpha,within_right,0.3534580759886799,0.34920795405006844,0.10902169375218125,88,0.0
Pre,wpli,alpha,interhemispheric,0.34259619284572745,0.333091231086738,0.10247574237604512,88,0.0
Pre,wpli,alpha,anterior_posterior,0.37029695142386426,0.35341035448006797,0.10589723640956149,88,0.0
Pre,wpli,beta,within_left,0.20692143862881104,0.18755865433699473,0.07927641627233281,88,0.0
Pre,wpli,beta,within_right,0.20786094067182706,0.19848373060875008,0.07063690640666839,88,0.0
Pre,wpli,beta,interhemispheric,0.18345150846756553,0.17563560148346524,0.0721500190590714,88,0.0
Pre,wpli,beta,anterior_posterior,0.19614386132280356,0.19715181584504815,0.05170394110511294,88,0.0
Pre,wpli,low_gamma,within_left,0.13695892689994846,0.1321273060213599,0.033819330477647645,88,0.0
Pre,wpli,low_gamma,within_right,0.14727881099878457,0.14336601465440288,0.04129964840649272,88,0.0
Pre,wpli,low_gamma,interhemispheric,0.13023305234223082,0.12755169088185198,0.0440295302402409,88,0.0
Pre,wpli,low_gamma,anterior_posterior,0.14148136103011008,0.13743160225905207,0.029167591521770203,88,0.0
Post,wpli,theta,within_left,0.27075865123454423,0.24168828755333976,0.09567930083613257,80,-0.42789991345228423
Post,wpli,theta,within_right,0.2914446944776213,0.2827136061530091,0.08797961915534193,80,2.8628571942273404
Post,wpli,theta,interhemispheric,0.27654805653024656,0.2673193179854161,0.08792997043215192,80,4.587394680107952
Post,wpli,theta,anterior_posterior,0.2750020920353955,0.26007837192935923,0.07210305481925841,80,-0.75362487909332
Post,wpli,alpha,within_left,0.37765683945285977,0.3890370415185619,0.10445772265843473,80,-0.22844159069919648
Post,wpli,alpha,within_right,0.35780375396881825,0.3495296844673203,0.11443832538636461,80,1.229474802063238
Post,wpli,alpha,interhemispheric,0.3327302595498676,0.32975020675505784,0.09616319844159532,80,-2.8797556720960125
Post,wpli,alpha,anterior_posterior,0.3606977097121332,0.34490514034264796,0.08701875356817472,80,-2.592309138603513
Post,wpli,beta,within_left,0.22258733689875282,0.20202263635387052,0.10406427291748707,80,7.570940147020855
Post,wpli,beta,within_right,0.19410832286747978,0.18290343060333664,0.06420809082090671,80,-6.616258812212367
Post,wpli,beta,interhemispheric,0.17725743612074205,0.15352756873334955,0.08888967492820125,80,-3.376408511745
Post,wpli,beta,anterior_posterior,0.19593281501377574,0.18223746637991795,0.06713708020461008,80,-0.10759771302783439
Post,wpli,low_gamma,within_left,0.14400968100971748,0.13665551580722946,0.047584525498987555,80,5.148079259499275
Post,wpli,low_gamma,within_right,0.13803869919088765,0.126274878329235,0.04495382643101486,80,-6.273890823285616
Post,wpli,low_gamma,interhemispheric,0.14498651574137494,0.1367576886519582,0.051929708412697145,80,11.328509263819203
Post,wpli,low_gamma,anterior_posterior,0.1394308135589482,0.1329393261312655,0.03431772049384948,80,-1.4493410695458855
